5	3	10.032696	2.359257
1	0	14.499884	0.500116
6	4	15.182292	0.561029
6	6	19.515884	0.863894
1	0	24.015470	2.984530
8	5	27.198497	0.723245
1	0	31.514961	1.985039
5	4	33.697813	2.656871
1	0	38.015117	0.484883
3	10	38.697575	0.973663
1	0	43.014725	0.985275
3	3	44.280509	1.985474
1	0	48.513538	1.486462
7	7	50.180439	2.158305
1	0	54.514053	1.985947
6	8	56.629942	2.246415
2	8	61.012616	1.254981
2	6	65.512849	0.987047
4	10	70.029047	1.082338
1	0	74.511809	0.988191
3	8	75.744973	1.043425
1	0	80.012305	1.487695
3	2	81.728855	1.062722
1	0	86.011274	0.488726
4	4	86.645252	0.981798
1	0	91.011507	3.988493
7	6	95.210356	2.549040
1	0	99.510378	2.489622
9	7	102.160592	1.317752
1	0	106.510272	1.989728
4	5	108.726522	1.657123
1	0	113.009180	0.490820
8	10	113.675786	2.154783
1	0	118.026079	0.473921
3	9	118.775451	1.532722
4	3	123.009124	1.721131
4	9	127.508317	1.423885
1	0	132.024570	0.475430
7	5	132.725387	2.288220
1	0	137.007532	0.992468
4	2	138.191448	1.340443
1	0	142.507481	0.992519
9	3	143.724210	0.771756
1	0	148.040099	7.459901
9	6	155.740567	0.701369
6	5	160.039363	0.836809
1	0	164.505801	2.494199
4	1	167.239319	1.263349
1	0	171.505121	0.994879
8	4	172.688588	0.651621
3	1	177.005650	1.144119
1	0	181.504499	0.995501
5	2	182.671408	0.764406
1	0	187.004546	0.495454
2	5	187.770677	1.382444
1	0	192.037070	1.462930
9	1	193.836977	0.939581
1	0	198.036775	0.463225
5	9	198.836744	0.986460
1	0	203.003027	3.496973
8	3	206.670292	0.615449
1	0	211.002431	1.997569
7	10	213.302651	0.599771
1	0	217.502376	4.497624
2	10	222.151943	0.878184
1	0	226.501599	2.498401
5	8	229.251288	2.116396
1	0	233.501492	3.498508
7	9	237.267408	0.885471
5	7	241.500587	2.009225
9	2	246.016817	0.658665
1	0	250.500236	9.499764
8	2	260.265902	0.927772
1	0	264.499967	0.500033
2	4	265.232640	1.258110
1	0	269.515633	0.984367
2	2	270.715238	3.789917
1	0	275.014753	0.485247
3	7	275.698171	1.270227
1	0	280.048111	0.951889
2	1	281.464475	0.873844
1	0	285.514122	0.485878
9	9	286.214637	1.518250
2	3	290.514417	0.879580
1	0	295.013885	0.986115
9	10	296.297669	1.087896
1	0	300.514006	1.485994
3	5	302.279749	0.917804
1	0	306.513464	5.986536
9	5	312.746052	0.765724
1	0	317.012966	0.987034
2	7	318.196110	1.858861
6	1	322.512050	1.213439
1	0	327.011791	1.988209
2	9	329.261596	0.877312
1	0	333.511639	0.488361
